Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201601,184,10420, ,Akron  OH ,28,28,9308,0,0,0,0,0,0,0,0,0,28,28,9308,0,0,0,0,0,0,0,0,0
201601,184,15940, ,Canton-Massillon  OH ,14,14,3966,1,2,225,0,0,0,0,0,0,12,12,3730,1,2,225,0,0,0,0,0,0
201601,184,17460, ,Cleveland-Elyria  OH ,131,131,33452,0,0,0,1,4,400,1,10,360,112,112,29860,0,0,0,1,4,400,0,0,0
201601,190,17860,C,Columbia  MO ,46,46,9120,2,4,400,0,0,0,0,0,0,46,46,9120,2,4,400,0,0,0,0,0,0
201601,192,17900,C,Columbia  SC ,261,261,51013,0,0,0,0,0,0,2,32,1806,61,61,11018,0,0,0,0,0,0,0,0,0
201601,194,12220, ,Auburn-Opelika  AL ,65,65,17646,0,0,0,0,0,0,1,14,2267,31,31,7725,0,0,0,0,0,0,0,0,0
201601,194,17980, ,Columbus  GA-AL ,33,33,6538,0,0,0,0,0,0,0,0,0,33,33,6538,0,0,0,0,0,0,0,0,0
201601,198,18140, ,Columbus  OH ,179,179,50381,1,2,510,2,8,958,22,227,24333,143,143,42298,1,2,510,2,8,958,21,221,23830
201601,204,18580, ,Corpus Christi  TX ,106,106,17288,0,0,0,0,0,0,5,85,6605,9,9,1355,0,0,0,0,0,0,0,0,0
201601,206,19100, ,Dallas-Fort Worth-Arlington  TX ,1876,1876,520382,25,50,7276,2,8,977,21,1570,175577,1426,1426,408722,21,42,6034,1,4,484,13,1061,132495
201601,209,19340, ,Davenport-Moline-Rock Island  IA-IL ,17,17,4101,0,0,0,0,0,0,0,0,0,8,8,1722,0,0,0,0,0,0,0,0,0
201601,212,19380, ,Dayton  OH ,48,48,15763,0,0,0,0,0,0,0,0,0,35,35,12877,0,0,0,0,0,0,0,0,0
201601,212,44220, ,Springfield  OH ,1,1,146,0,0,0,0,0,0,0,0,0,1,1,146,0,0,0,0,0,0,0,0,0
201601,216,14500, ,Boulder  CO ,66,66,22475,2,4,657,1,4,469,1,5,741,58,58,21060,0,0,0,0,0,0,0,0,0
201601,216,19740, ,Denver-Aurora-Lakewood  CO ,715,715,197415,1,2,355,1,4,533,8,774,93348,706,706,193374,1,2,355,1,4,533,8,774,93348
201601,216,24540, ,Greeley  CO ,131,131,33008,1,2,226,2,7,1007,1,16,781,114,114,28626,1,2,226,2,7,1007,1,16,781
201601,218,11180, ,Ames  IA ,1,1,450,0,0,0,0,0,0,0,0,0,1,1,450,0,0,0,0,0,0,0,0,0
201601,218,19780, ,Des Moines-West Des Moines  IA ,96,96,25995,0,0,0,0,0,0,6,461,52246,91,91,24600,0,0,0,0,0,0,6,461,52246
201601,220,11460, ,Ann Arbor  MI ,14,14,3376,0,0,0,0,0,0,0,0,0,8,8,1879,0,0,0,0,0,0,0,0,0
201601,220,19820, ,Detroit-Warren-Dearborn  MI ,286,286,79164,2,4,651,1,4,1210,2,17,2202,261,261,71079,2,4,651,1,4,1210,1,11,1602
201601,220,22420, ,Flint  MI ,3,3,700,0,0,0,0,0,0,0,0,0,3,3,700,0,0,0,0,0,0,0,0,0
201601,220,33780, ,Monroe  MI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,222,20020, ,Dothan  AL ,18,18,5170,0,0,0,0,0,0,0,0,0,17,17,5034,0,0,0,0,0,0,0,0,0
201601,232,20740, ,Eau Claire  WI ,5,5,1148,2,4,440,2,8,720,1,5,267,3,3,759,2,4,440,2,8,720,0,0,0
201601,236,21300, ,Elmira  NY ,1,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,238,21340,C,El Paso  TX ,194,194,23781,2,4,339,1,4,151,0,0,0,194,194,23781,2,4,339,1,4,151,0,0,0
201601,238,29740,C,Las Cruces  NM ,59,59,11676,0,0,0,0,0,0,0,0,0,59,59,11676,0,0,0,0,0,0,0,0,0
201601,240,21500, ,Erie  PA ,2,2,463,1,2,80,0,0,0,0,0,0,1,1,250,1,2,80,0,0,0,0,0,0
201601,244,22020, ,Fargo  ND-MN ,12,12,4343,0,0,0,0,0,0,0,0,0,11,11,4068,0,0,0,0,0,0,0,0,0
201601,246,22180,C,Fayetteville  NC ,53,53,9551,0,0,0,0,0,0,2,24,2274,53,53,9551,0,0,0,0,0,0,2,24,2274
201601,258,23060, ,Fort Wayne  IN ,44,44,12175,0,0,0,0,0,0,0,0,0,44,44,12175,0,0,0,0,0,0,0,0,0
201601,260,23420,C,Fresno  CA ,121,121,32299,0,0,0,0,0,0,2,22,1728,41,41,11197,0,0,0,0,0,0,0,0,0
201601,260,31460, ,Madera  CA ,31,31,8065,0,0,0,0,0,0,0,0,0,31,31,8065,0,0,0,0,0,0,0,0,0
201601,264,23540, ,Gainesville  FL ,43,43,6112,0,0,0,0,0,0,1,19,1164,38,38,5547,0,0,0,0,0,0,0,0,0
201601,266,24340, ,Grand Rapids-Wyoming  MI ,105,105,21396,0,0,0,0,0,0,2,111,15533,84,84,17309,0,0,0,0,0,0,1,87,14200
201601,266,34740, ,Muskegon  MI ,1,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,267,24580, ,Green Bay  WI ,25,25,4830,0,0,0,0,0,0,1,5,595,11,11,2359,0,0,0,0,0,0,0,0,0
201601,268,15500, ,Burlington  NC ,43,43,10471,0,0,0,0,0,0,1,24,959,43,43,10471,0,0,0,0,0,0,1,24,959
201601,268,24660,C,Greensboro-High Point  NC ,86,86,21092,0,0,0,0,0,0,1,26,2526,66,66,16810,0,0,0,0,0,0,0,0,0
201601,268,49180, ,Winston-Salem  NC ,79,79,12851,0,0,0,0,0,0,2,42,1979,0,0,0,0,0,0,0,0,0,0,0,0
201601,273,24860, ,Greenville-Anderson-Mauldin  SC ,224,224,58841,0,0,0,0,0,0,1,8,387,221,221,58258,0,0,0,0,0,0,0,0,0
201601,273,43900, ,Spartanburg  SC ,127,127,21678,0,0,0,0,0,0,0,0,0,127,127,21678,0,0,0,0,0,0,0,0,0
201601,274,24780, ,Greenville  NC ,12,12,1518,2,4,301,0,0,0,0,0,0,12,12,1518,2,4,301,0,0,0,0,0,0
201601,276,23900,C,Gettysburg  PA ,52,52,3038,0,0,0,0,0,0,0,0,0,52,52,3038,0,0,0,0,0,0,0,0,0
201601,276,25420,C,Harrisburg-Carlisle  PA ,61,61,13514,0,0,0,0,0,0,1,5,216,35,35,8216,0,0,0,0,0,0,0,0,0
201601,276,30140, ,Lebanon  PA ,10,10,2356,0,0,0,0,0,0,0,0,0,10,10,2356,0,0,0,0,0,0,0,0,0
201601,276,49620, ,York-Hanover  PA ,2,2,983,0,0,0,0,0,0,0,0,0,1,1,785,0,0,0,0,0,0,0,0,0
201601,277,25500,C,Harrisonburg  VA ,36,36,7297,1,2,275,0,0,0,1,5,220,30,30,6572,0,0,0,0,0,0,0,0,0
201601,277,44420, ,Staunton-Waynesboro  VA ,9,9,1746,0,0,0,0,0,0,0,0,0,9,9,1746,0,0,0,0,0,0,0,0,0
201601,278,25540,C,Hartford-West Hartford-East Hartford  CT ,35,35,7841,0,0,0,1,3,250,2,32,2850,29,29,5888,0,0,0,1,3,250,2,32,2850
