01 16 Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
01 16 Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
01 16  
02 16 201602,21,047,3,6,Christian County              ,2,2,142400,1,2,155000,1,3,230000,0,0,0,0,0,0,1,2,155000,1,3,230000,0,0,0
02 16 201602,21,049,3,6,Clark County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,067,3,6,Fayette County                ,61,61,8974852,1,2,204333,0,0,0,2,40,2385727,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,069,3,6,Fleming County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,077,3,6,Gallatin County               ,1,1,175000,0,0,0,0,0,0,0,0,0,1,1,175000,0,0,0,0,0,0,0,0,0
02 16 201602,21,081,3,6,Grant County                  ,3,3,611613,0,0,0,0,0,0,1,5,313750,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,091,3,6,Hancock County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,099,3,6,Hart County                   ,4,4,389000,0,0,0,0,0,0,1,5,567738,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,101,3,6,Henderson County              ,1,1,421000,1,2,99000,0,0,0,0,0,0,1,1,421000,1,2,99000,0,0,0,0,0,0
02 16 201602,21,103,3,6,Henry County                  ,2,2,452000,0,0,0,0,0,0,0,0,0,2,2,452000,0,0,0,0,0,0,0,0,0
02 16 201602,21,111,3,6,Jefferson County              ,88,88,18484360,3,6,365040,0,0,0,16,114,7020092,3,3,860000,0,0,0,0,0,0,0,0,0
02 16 201602,21,113,3,6,Jessamine County              ,13,13,2654848,0,0,0,1,3,378214,0,0,0,5,5,1585000,0,0,0,0,0,0,0,0,0
02 16 201602,21,115,3,6,Johnson County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,117,3,6,Kenton County                 ,14,14,2863532,0,0,0,0,0,0,0,0,0,14,14,2863532,0,0,0,0,0,0,0,0,0
02 16 201602,21,121,3,6,Knox County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,123,3,6,Larue County                  ,3,3,677005,0,0,0,0,0,0,0,0,0,3,3,677005,0,0,0,0,0,0,0,0,0
02 16 201602,21,137,3,6,Lincoln County                ,1,1,195167,0,0,0,0,0,0,0,0,0,1,1,195167,0,0,0,0,0,0,0,0,0
02 16 201602,21,145,3,6,McCracken County              ,36,36,4751745,0,0,0,0,0,0,0,0,0,36,36,4751745,0,0,0,0,0,0,0,0,0
02 16 201602,21,151,3,6,Madison County                ,8,8,692521,1,2,112996,0,0,0,1,5,168572,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,157,3,6,Marshall County               ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
02 16 201602,21,161,3,6,Mason County                  ,1,1,320000,0,0,0,0,0,0,0,0,0,1,1,320000,0,0,0,0,0,0,0,0,0
02 16 201602,21,163,3,6,Meade County                  ,1,1,145000,0,0,0,0,0,0,0,0,0,1,1,145000,0,0,0,0,0,0,0,0,0
02 16 201602,21,167,3,6,Mercer County                 ,3,3,420524,1,2,137500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,175,3,6,Morgan County                 ,2,2,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,179,3,6,Nelson County                 ,12,12,1871000,0,0,0,0,0,0,0,0,0,12,12,1871000,0,0,0,0,0,0,0,0,0
02 16 201602,21,185,3,6,Oldham County                 ,19,19,5113807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,191,3,6,Pendleton County              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,209,3,6,Scott County                  ,50,50,6153990,0,0,0,0,0,0,0,0,0,50,50,6153990,0,0,0,0,0,0,0,0,0
02 16 201602,21,211,3,6,Shelby County                 ,11,11,2316491,0,0,0,0,0,0,0,0,0,11,11,2316491,0,0,0,0,0,0,0,0,0
02 16 201602,21,213,3,6,Simpson County                ,1,1,196357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,215,3,6,Spencer County                ,10,10,2256682,0,0,0,0,0,0,0,0,0,10,10,2256682,0,0,0,0,0,0,0,0,0
02 16 201602,21,221,3,6,Trigg County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,225,3,6,Union County                  ,1,1,212798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,21,239,3,6,Woodford County               ,4,4,915000,0,0,0,0,0,0,0,0,0,4,4,915000,0,0,0,0,0,0,0,0,0
02 16 201602,22,005,3,7,Ascension Parish              ,74,74,11638900,0,0,0,0,0,0,0,0,0,66,66,10474650,0,0,0,0,0,0,0,0,0
02 16 201602,22,015,3,7,Bossier Parish                ,46,46,8290343,0,0,0,0,0,0,0,0,0,21,21,2616299,0,0,0,0,0,0,0,0,0
02 16 201602,22,017,3,7,Caddo Parish                  ,29,29,7830435,0,0,0,0,0,0,0,0,0,29,29,7830435,0,0,0,0,0,0,0,0,0
02 16 201602,22,031,3,7,De Soto Parish                ,5,5,1054657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,22,033,3,7,East Baton Rouge Parish       ,95,95,23337617,0,0,0,0,0,0,0,0,0,84,84,21551342,0,0,0,0,0,0,0,0,0
02 16 201602,22,037,3,7,East Feliciana Parish         ,2,2,390335,0,0,0,0,0,0,0,0,0,2,2,390335,0,0,0,0,0,0,0,0,0
02 16 201602,22,047,3,7,Iberville Parish              ,7,7,1263976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,22,051,3,7,Jefferson Parish              ,33,33,6114410,0,0,0,0,0,0,0,0,0,5,5,1135000,0,0,0,0,0,0,0,0,0
02 16 201602,22,055,3,7,Lafayette Parish              ,105,105,19375880,0,0,0,1,4,1000000,0,0,0,74,74,14421668,0,0,0,1,4,1000000,0,0,0
02 16 201602,22,063,3,7,Livingston Parish             ,62,62,12893339,0,0,0,0,0,0,0,0,0,1,1,118000,0,0,0,0,0,0,0,0,0
02 16 201602,22,071,3,7,Orleans Parish                ,51,51,11652390,5,10,910256,2,6,573762,1,21,4155779,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,22,075,3,7,Plaquemines Parish            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,22,077,3,7,Pointe Coupee Parish          ,3,3,853292,0,0,0,0,0,0,0,0,0,3,3,853292,0,0,0,0,0,0,0,0,0
02 16 201602,22,087,3,7,St. Bernard Parish            ,6,6,885000,0,0,0,0,0,0,0,0,0,6,6,885000,0,0,0,0,0,0,0,0,0
02 16 201602,22,089,3,7,St. Charles Parish            ,14,14,2213985,0,0,0,0,0,0,0,0,0,14,14,2213985,0,0,0,0,0,0,0,0,0
02 16 201602,22,091,3,7,St. Helena Parish             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,22,095,3,7,St. John the Baptist Parish   ,3,3,509493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,22,099,3,7,St. Martin Parish             ,13,13,2723245,0,0,0,0,0,0,0,0,0,13,13,2723245,0,0,0,0,0,0,0,0,0
02 16 201602,22,103,3,7,St. Tammany Parish            ,89,89,22954553,0,0,0,0,0,0,0,0,0,85,85,21567960,0,0,0,0,0,0,0,0,0
02 16 201602,22,109,3,7,Terrebonne Parish             ,14,14,3495550,0,0,0,0,0,0,0,0,0,14,14,3495550,0,0,0,0,0,0,0,0,0
02 16 201602,22,121,3,7,West Baton Rouge Parish       ,23,23,3007117,0,0,0,0,0,0,0,0,0,15,15,1748990,0,0,0,0,0,0,0,0,0
02 16 201602,22,125,3,7,West Feliciana Parish         ,4,4,1225148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,23,000,1,1,Maine Unorganized Territory   ,3,3,398401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,24,003,3,5,Anne Arundel County           ,88,88,19252550,0,0,0,0,0,0,2,63,6325972,74,74,16699447,0,0,0,0,0,0,1,45,4300000
02 16 201602,24,005,3,5,Baltimore County              ,52,52,11734747,0,0,0,0,0,0,0,0,0,52,52,11734747,0,0,0,0,0,0,0,0,0
02 16 201602,24,009,3,5,Calvert County                ,14,14,3159355,0,0,0,0,0,0,0,0,0,14,14,3159355,0,0,0,0,0,0,0,0,0
02 16 201602,24,013,3,5,Carroll County                ,7,7,1579677,0,0,0,0,0,0,0,0,0,7,7,1579677,0,0,0,0,0,0,0,0,0
02 16 201602,24,015,3,5,Cecil County                  ,6,6,1071635,0,0,0,0,0,0,0,0,0,6,6,1071635,0,0,0,0,0,0,0,0,0
02 16 201602,24,017,3,5,Charles County                ,39,39,8736000,0,0,0,0,0,0,0,0,0,39,39,8736000,0,0,0,0,0,0,0,0,0
02 16 201602,24,021,3,5,Frederick County              ,34,34,8493269,0,0,0,0,0,0,1,5,473696,34,34,8493269,0,0,0,0,0,0,1,5,473696
02 16 201602,24,023,3,5,Garrett County                ,1,1,262700,0,0,0,0,0,0,0,0,0,1,1,262700,0,0,0,0,0,0,0,0,0
02 16 201602,24,025,3,5,Harford County                ,38,38,8597221,0,0,0,0,0,0,1,6,732468,34,34,7445714,0,0,0,0,0,0,0,0,0
02 16 201602,24,027,3,5,Howard County                 ,75,75,16925115,0,0,0,0,0,0,1,30,4500000,75,75,16925115,0,0,0,0,0,0,1,30,4500000
02 16 201602,24,031,3,5,Montgomery County             ,78,78,24272266,0,0,0,0,0,0,1,275,49891136,78,78,24272266,0,0,0,0,0,0,1,275,49891136
02 16 201602,24,033,3,5,Prince George County          ,128,128,28885530,0,0,0,0,0,0,0,0,0,128,128,28885530,0,0,0,0,0,0,0,0,0
02 16 201602,24,035,3,5,Queen Anne County             ,19,19,4050691,0,0,0,0,0,0,0,0,0,19,19,4050691,0,0,0,0,0,0,0,0,0
02 16 201602,24,037,3,5,St. Mary's County             ,20,20,4771191,0,0,0,0,0,0,0,0,0,20,20,4771191,0,0,0,0,0,0,0,0,0
02 16 201602,24,037,3,5,St. Marys County              ,20,20,4771191,0,0,0,0,0,0,0,0,0,20,20,4771191,0,0,0,0,0,0,0,0,0
02 16 201602,24,039,3,5,Somerset County               ,4,4,672178,0,0,0,0,0,0,1,6,587600,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,24,045,3,5,Wicomico County               ,5,5,874591,0,0,0,0,0,0,1,5,450000,4,4,756550,0,0,0,0,0,0,0,0,0
02 16 201602,24,510,3,5,Baltimore (Independent City)  ,21,21,3273781,0,0,0,0,0,0,1,48,4660763,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,25,005,1,1,Bristol County                ,46,46,7855005,1,2,266000,0,0,0,2,81,6302499,26,26,4066800,0,0,0,0,0,0,2,81,6302499
02 16 201602,25,009,1,1,Essex County                  ,38,38,12285684,2,4,552909,1,3,585318,1,13,1582750,19,19,6114529,0,0,0,0,0,0,0,0,0
02 16 201602,25,017,1,1,Middlesex County              ,105,105,28256423,13,26,2552864,7,25,1787000,7,66,9440400,78,78,20448949,12,24,2357864,7,25,1787000,1,6,560500
02 16 201602,25,021,1,1,Norfolk County                ,51,51,35958386,1,2,348518,0,0,0,4,25,2013895,38,38,31464346,0,0,0,0,0,0,0,0,0
02 16 201602,25,023,1,1,Plymouth County               ,47,47,9971610,0,0,0,1,4,393924,1,5,492405,28,28,6078771,0,0,0,0,0,0,0,0,0
02 16 201602,25,025,1,1,Suffolk County                ,5,5,1193735,6,12,2316000,3,9,1100000,6,178,39500253,4,4,1028802,6,12,2316000,3,9,1100000,4,150,36200000
02 16 201602,26,000,2,3,Michigan Balance of State     ,3,3,504086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,26,019,2,3,Benzie County                 ,2,2,279705,0,0,0,0,0,0,0,0,0,2,2,279705,0,0,0,0,0,0,0,0,0
02 16 201602,26,029,2,3,Charlevoix County             ,3,3,928039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,26,089,2,3,Leelanau County               ,4,4,1335030,0,0,0,0,0,0,0,0,0,4,4,1335030,0,0,0,0,0,0,0,0,0
02 16 201602,26,093,2,3,Livingston County             ,39,39,9651739,0,0,0,0,0,0,0,0,0,38,38,9549667,0,0,0,0,0,0,0,0,0
02 16 201602,26,095,2,3,Luce County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,26,099,2,3,Macomb County                 ,104,104,24098930,8,16,2386390,0,0,0,0,0,0,104,104,24098930,8,16,2386390,0,0,0,0,0,0
02 16 201602,26,103,2,3,Marquette County              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,26,137,2,3,Otsego County                 ,1,1,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,26,147,2,3,St. Clair County              ,13,13,2291551,0,0,0,0,0,0,0,0,0,9,9,1477302,0,0,0,0,0,0,0,0,0
02 16 201602,26,163,2,3,Wayne County                  ,79,79,25158176,0,0,0,0,0,0,1,14,1210668,77,77,24985631,0,0,0,0,0,0,1,14,1210668
02 16 201602,27,003,2,4,Anoka County                  ,57,57,15423820,0,0,0,0,0,0,0,0,0,55,55,14964925,0,0,0,0,0,0,0,0,0
02 16 201602,27,019,2,4,Carver County                 ,38,38,12338477,0,0,0,0,0,0,0,0,0,32,32,10392895,0,0,0,0,0,0,0,0,0
02 16 201602,27,025,2,4,Chisago County                ,9,9,1351164,0,0,0,0,0,0,0,0,0,7,7,1086164,0,0,0,0,0,0,0,0,0
02 16 201602,27,027,2,4,Clay County                   ,3,3,750000,0,0,0,0,0,0,0,0,0,3,3,750000,0,0,0,0,0,0,0,0,0
02 16 201602,27,037,2,4,Dakota County                 ,52,52,15469619,0,0,0,0,0,0,0,0,0,52,52,15469619,0,0,0,0,0,0,0,0,0
02 16 201602,27,053,2,4,Hennepin County               ,127,127,53525802,0,0,0,1,3,687198,2,11,1583928,114,114,46991262,0,0,0,0,0,0,0,0,0
02 16 201602,27,059,2,4,Isanti County                 ,11,11,1728851,0,0,0,0,0,0,0,0,0,11,11,1728851,0,0,0,0,0,0,0,0,0
02 16 201602,27,123,2,4,Ramsey County                 ,23,23,5726904,0,0,0,0,0,0,1,78,3500000,23,23,5726904,0,0,0,0,0,0,1,78,3500000
02 16 201602,27,139,2,4,Scott County                  ,33,33,12571215,0,0,0,0,0,0,0,0,0,33,33,12571215,0,0,0,0,0,0,0,0,0
02 16 201602,27,141,2,4,Sherburne County              ,15,15,3128663,0,0,0,0,0,0,0,0,0,12,12,2470497,0,0,0,0,0,0,0,0,0
02 16 201602,27,163,2,4,Washington County             ,55,55,19447415,0,0,0,0,0,0,0,0,0,53,53,18527013,0,0,0,0,0,0,0,0,0
02 16 201602,27,171,2,4,Wright County                 ,36,36,9365580,0,0,0,0,0,0,0,0,0,36,36,9365580,0,0,0,0,0,0,0,0,0
02 16 201602,28,033,3,6,DeSoto County                 ,83,83,12129735,0,0,0,0,0,0,0,0,0,58,58,7135390,0,0,0,0,0,0,0,0,0
02 16 201602,28,041,3,6,Greene County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,28,045,3,6,Hancock County                ,28,28,4471568,1,2,185179,1,4,401445,1,11,931290,2,2,470280,0,0,0,0,0,0,0,0,0
02 16 201602,28,047,3,6,Harrison County               ,70,70,11762578,0,0,0,0,0,0,0,0,0,61,61,10740169,0,0,0,0,0,0,0,0,0
02 16 201602,28,067,3,6,Jones County                  ,2,2,253581,1,2,100000,0,0,0,0,0,0,0,0,0,1,2,100000,0,0,0,0,0,0
02 16 201602,28,137,3,6,Tate County                   ,1,1,215000,0,0,0,0,0,0,0,0,0,1,1,215000,0,0,0,0,0,0,0,0,0
02 16 201602,28,143,3,6,Tunica County                 ,2,2,160640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,28,145,3,6,Union County                  ,2,2,200000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
02 16 201602,28,149,3,6,Warren County                 ,1,1,23000,0,0,0,0,0,0,0,0,0,1,1,23000,0,0,0,0,0,0,0,0,0
02 16 201602,29,013,2,4,Bates County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,29,019,2,4,Boone County                  ,53,53,12303568,0,0,0,0,0,0,0,0,0,53,53,12303568,0,0,0,0,0,0,0,0,0
02 16 201602,29,049,2,4,Clinton County                ,5,5,900000,0,0,0,0,0,0,0,0,0,5,5,900000,0,0,0,0,0,0,0,0,0
02 16 201602,29,065,2,4,Dent County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,29,071,2,4,Franklin County               ,21,21,3714368,0,0,0,0,0,0,0,0,0,12,12,1747062,0,0,0,0,0,0,0,0,0
02 16 201602,29,095,2,4,Jackson County                ,134,134,29072224,0,0,0,1,4,436000,1,18,1257350,133,133,28875206,0,0,0,1,4,436000,1,18,1257350
02 16 201602,29,099,2,4,Jefferson County              ,34,34,4322929,1,2,250000,0,0,0,0,0,0,31,31,3955292,1,2,250000,0,0,0,0,0,0
02 16 201602,29,105,2,4,Laclede County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,29,107,2,4,Lafayette County              ,2,2,465475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,29,113,2,4,Lincoln County                ,9,9,1494376,1,2,90000,0,0,0,0,0,0,9,9,1494376,1,2,90000,0,0,0,0,0,0
02 16 201602,29,165,2,4,Platte County                 ,30,30,7491966,0,0,0,0,0,0,0,0,0,25,25,5918834,0,0,0,0,0,0,0,0,0
02 16 201602,29,185,2,4,St. Clair County              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,29,189,2,4,St. Louis County              ,44,44,19019927,0,0,0,0,0,0,2,10,1692895,15,15,6669758,0,0,0,0,0,0,0,0,0
02 16 201602,29,219,2,4,Warren County                 ,9,9,2137143,0,0,0,0,0,0,0,0,0,9,9,2137143,0,0,0,0,0,0,0,0,0
02 16 201602,29,221,2,4,Washington County             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,29,510,2,4,St. Louis (Independent City)  ,7,7,874600,0,0,0,0,0,0,0,0,0,7,7,874600,0,0,0,0,0,0,0,0,0
02 16 201602,30,033,4,8,Garfield County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,30,063,4,8,Missoula County               ,17,17,3173063,0,0,0,2,8,243728,1,6,188437,17,17,3173063,0,0,0,2,8,243728,1,6,188437
02 16 201602,30,093,4,8,Silver Bow County             ,1,1,135628,0,0,0,0,0,0,0,0,0,1,1,135628,0,0,0,0,0,0,0,0,0
02 16 201602,31,001,2,4,Adams County                  ,5,5,1061571,0,0,0,0,0,0,0,0,0,2,2,483254,0,0,0,0,0,0,0,0,0
02 16 201602,31,025,2,4,Cass County                   ,7,7,1418980,0,0,0,0,0,0,0,0,0,7,7,1418980,0,0,0,0,0,0,0,0,0
02 16 201602,31,033,2,4,Cheyenne County               ,1,1,246094,0,0,0,0,0,0,0,0,0,1,1,246094,0,0,0,0,0,0,0,0,0
02 16 201602,31,055,2,4,Douglas County                ,101,101,14761375,0,0,0,0,0,0,1,95,6096293,95,95,13325068,0,0,0,0,0,0,1,95,6096293
02 16 201602,31,105,2,4,Kimball County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,31,153,2,4,Sarpy County                  ,73,73,20167301,0,0,0,0,0,0,1,24,382969,73,73,20167301,0,0,0,0,0,0,1,24,382969
02 16 201602,31,165,2,4,Sioux County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,31,177,2,4,Washington County             ,3,3,905200,0,0,0,0,0,0,0,0,0,2,2,639896,0,0,0,0,0,0,0,0,0
02 16 201602,32,001,4,8,Churchill County              ,2,2,573722,0,0,0,0,0,0,0,0,0,2,2,573722,0,0,0,0,0,0,0,0,0
02 16 201602,32,003,4,8,Clark County                  ,728,728,133298456,4,8,245762,3,9,633900,61,1180,65963188,728,728,133298456,4,8,245762,3,9,633900,61,1180,65963188
02 16 201602,32,005,4,8,Douglas County                ,18,18,7717985,0,0,0,0,0,0,0,0,0,18,18,7717985,0,0,0,0,0,0,0,0,0
02 16 201602,32,007,4,8,Elko County                   ,5,5,915024,0,0,0,0,0,0,0,0,0,5,5,915024,0,0,0,0,0,0,0,0,0
02 16 201602,32,013,4,8,Humboldt County               ,1,1,155539,0,0,0,0,0,0,0,0,0,1,1,155539,0,0,0,0,0,0,0,0,0
02 16 201602,32,015,4,8,Lander County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,32,017,4,8,Lincoln County                ,1,1,257054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,32,019,4,8,Lyon County                   ,21,21,4754306,0,0,0,0,0,0,0,0,0,21,21,4754306,0,0,0,0,0,0,0,0,0
02 16 201602,32,021,4,8,Mineral County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,32,027,4,8,Pershing County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,32,029,4,8,Storey County                 ,1,1,142000,0,0,0,0,0,0,0,0,0,1,1,142000,0,0,0,0,0,0,0,0,0
02 16 201602,32,031,4,8,Washoe County                 ,119,119,29749758,0,0,0,0,0,0,0,0,0,119,119,29749758,0,0,0,0,0,0,0,0,0
02 16 201602,32,033,4,8,White Pine County             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,32,510,4,8,Carson City (Independent City),5,5,1212132,0,0,0,0,0,0,0,0,0,5,5,1212132,0,0,0,0,0,0,0,0,0
02 16 201602,33,015,1,1,Rockingham County             ,32,32,7721171,1,2,400000,0,0,0,1,10,1111996,20,20,4650196,1,2,400000,0,0,0,0,0,0
02 16 201602,33,017,1,1,Strafford County              ,5,5,875190,0,0,0,1,3,302251,1,11,2097776,4,4,681000,0,0,0,0,0,0,0,0,0
02 16 201602,34,001,1,2,Atlantic County               ,24,24,4263677,1,2,289712,0,0,0,3,56,3294500,18,18,3360652,0,0,0,0,0,0,1,38,700000
02 16 201602,34,003,1,2,Bergen County                 ,56,56,19581924,7,14,2697280,1,3,870000,10,507,174982178,24,24,8166264,2,4,1120000,1,3,870000,1,451,170500500
02 16 201602,34,005,1,2,Burlington County             ,33,33,5446365,2,4,504400,0,0,0,0,0,0,16,16,2795978,2,4,504400,0,0,0,0,0,0
02 16 201602,34,007,1,2,Camden County                 ,19,19,3082475,0,0,0,1,4,52471,6,37,1531293,4,4,1161153,0,0,0,0,0,0,2,10,8195
02 16 201602,34,009,1,2,Cape May County               ,40,40,11578277,14,28,5554120,0,0,0,0,0,0,37,37,10303503,14,28,5554120,0,0,0,0,0,0
02 16 201602,34,011,1,2,Cumberland County             ,13,13,1581241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,34,013,1,2,Essex County                  ,18,18,6204939,3,6,542900,9,27,351203,5,72,2783114,8,8,4654855,2,4,325400,9,27,351203,0,0,0
02 16 201602,34,015,1,2,Gloucester County             ,23,23,3542099,0,0,0,0,0,0,0,0,0,10,10,2138065,0,0,0,0,0,0,0,0,0
02 16 201602,34,017,1,2,Hudson County                 ,17,17,5279500,2,4,417544,2,6,1094165,7,478,62105406,16,16,5074000,1,2,337000,0,0,0,3,397,49632940
02 16 201602,34,019,1,2,Hunterdon County              ,8,8,4082759,0,0,0,0,0,0,1,5,203395,6,6,3776977,0,0,0,0,0,0,0,0,0
02 16 201602,34,021,1,2,Mercer County                 ,9,9,3123050,1,2,156000,0,0,0,0,0,0,7,7,2711259,1,2,156000,0,0,0,0,0,0
02 16 201602,34,023,1,2,Middlesex County              ,85,85,14139184,2,4,300300,3,10,795474,5,83,10402433,78,78,13231602,2,4,300300,2,7,376000,1,24,1730000
02 16 201602,34,025,1,2,Monmouth County               ,65,65,19608968,2,4,747379,0,0,0,3,22,2743466,45,45,15314602,2,4,747379,0,0,0,1,12,2100000
02 16 201602,34,027,1,2,Morris County                 ,46,46,10984249,0,0,0,0,0,0,8,62,4492517,20,20,4902112,0,0,0,0,0,0,0,0,0
02 16 201602,34,029,1,2,Ocean County                  ,135,135,30714443,0,0,0,0,0,0,2,114,10865000,128,128,29320305,0,0,0,0,0,0,2,114,10865000
02 16 201602,34,031,1,2,Passaic County                ,10,10,1831932,1,2,123000,0,0,0,4,35,3784239,2,2,717600,1,2,123000,0,0,0,2,20,2640000
02 16 201602,34,033,1,2,Salem County                  ,2,2,375000,0,0,0,0,0,0,0,0,0,1,1,175000,0,0,0,0,0,0,0,0,0
02 16 201602,34,035,1,2,Somerset County               ,17,17,3127608,0,0,0,1,3,1834000,4,42,8160462,7,7,1682720,0,0,0,1,3,1834000,3,30,7335000
02 16 201602,34,037,1,2,Sussex County                 ,7,7,1274539,0,0,0,0,0,0,0,0,0,2,2,265332,0,0,0,0,0,0,0,0,0
02 16 201602,34,039,1,2,Union County                  ,27,27,6646528,3,6,532000,0,0,0,9,95,4523783,15,15,5154201,3,6,532000,0,0,0,2,18,1283500
02 16 201602,34,041,1,2,Warren County                 ,14,14,2232159,0,0,0,0,0,0,1,5,215894,7,7,1113104,0,0,0,0,0,0,0,0,0
02 16 201602,35,000,4,8,New Mexico Balance of State   ,20,20,5167192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 16 201602,35,001,4,8,Bernalillo County             ,85,85,17469478,0,0,0,0,0,0,0,0,0,85,85,17469478,0,0,0,0,0,0,0,0,0
02 16 201602,35,005,4,8,Chaves County                 ,7,7,952754,0,0,0,0,0,0,0,0,0,7,7,952754,0,0,0,0,0,0,0,0,0
02 16 201602,35,007,4,8,Colfax County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
